"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"526";2;5;7;8;8;8;8;8;8
"527";2;5;7;8;8;8;8;8;8
"528";2;5;7;8;8;8;8;8;8
"529";2;5;7;8;8;8;8;8;8
"530";2;5;6;6;6;6;6;6;18
"531";2;5;6;6;6;6;6;6;18
"532";2;5;7;9;10;12;12;12;12
"533";2;5;7;9;10;12;12;12;12
"534";2;5;7;9;10;12;12;12;12
"535";2;5;7;9;10;12;12;12;12
"536";2;5;7;9;10;12;12;12;12
"537";2;5;7;9;10;12;12;12;12
"538";2;5;7;9;10;12;12;12;12
"539";2;5;7;9;10;12;12;12;12
"540";2;5;7;9;10;12;12;12;12
"541";2;5;7;9;10;12;12;12;12
"542";2;5;7;9;10;13;15;16;16
"543";2;5;7;9;10;13;15;17;17
"544";2;5;7;9;10;12;12;12;12
"545";2;5;7;9;10;12;12;12;12
"546";2;5;7;9;10;12;12;12;12
"547";2;5;7;9;10;12;12;12;12
"548";2;5;7;9;10;12;12;12;12
"549";2;5;7;9;10;12;12;12;12
"550";2;5;7;9;10;12;12;12;12
"551";2;5;7;9;10;12;12;12;12
"552";2;5;7;9;10;12;12;12;12
"553";2;5;7;9;10;12;12;12;12
"554";2;5;7;8;8;8;8;8;8
"555";2;5;7;8;8;8;8;8;8
"556";2;5;7;8;8;8;8;8;8
"557";2;5;7;8;8;8;8;8;8
"558";2;5;7;9;10;12;12;12;12
"559";2;5;7;9;10;13;15;17;17
"560";2;5;7;9;10;12;12;12;12
"561";2;5;7;9;10;12;12;12;12
"562";2;5;7;9;10;12;12;12;12
"563";2;5;7;9;10;13;15;17;17
"564";2;5;7;9;10;13;15;17;17
"565";2;5;7;9;10;12;12;12;12
"566";2;5;7;9;10;12;12;12;12
"567";2;5;7;9;10;12;12;12;12
"568";2;5;7;9;10;12;12;12;12
"569";2;5;6;6;6;6;6;6;18
"570";2;5;7;9;10;12;12;12;12
"571";2;5;7;9;10;12;12;12;12
"572";2;5;7;9;10;12;12;12;12
"573";2;5;7;9;10;13;15;17;17
"574";2;5;6;6;6;6;6;6;18
"575";2;5;6;6;6;6;6;6;18
"576";2;5;6;6;6;6;6;6;18
"577";2;5;6;6;6;6;6;6;18
"578";2;5;6;6;6;6;6;6;18
"579";2;5;6;6;6;6;6;6;18
"580";2;5;6;6;6;6;6;6;18
"581";2;5;6;6;6;6;6;6;18
"582";2;5;7;9;10;13;15;17;17
"583";2;5;6;6;6;6;6;6;18
"584";2;5;7;9;10;13;15;16;16
"585";2;5;7;9;10;13;15;17;17
"586";2;5;7;9;10;13;15;17;17
"587";2;5;7;9;10;13;15;17;17
"588";2;5;7;9;10;13;15;16;16
"589";2;5;6;6;6;6;6;6;18
"590";2;5;7;9;10;13;15;17;17
"591";2;5;7;9;10;13;15;17;17
"592";2;5;6;6;6;6;6;6;18
"593";2;5;7;9;10;13;15;16;16
"594";2;5;7;9;10;13;15;17;17
"595";2;5;7;9;10;13;15;16;16
"596";2;5;7;9;10;13;15;16;16
"597";2;5;7;9;10;13;15;17;17
"598";2;5;7;9;10;13;15;16;16
"599";2;5;7;9;10;12;12;12;12
"600";2;5;7;9;10;13;15;17;17
"601";2;5;7;9;10;12;12;12;12
"602";2;5;7;9;10;13;15;17;17
"603";2;5;7;9;10;13;15;17;17
"604";2;5;7;9;10;13;15;17;17
