"";"classe 1";"classe 2";"classe 3"
"partnership";0,022;1;1
"netanyahu";1;0,01;1
"minimize";1;1;0,012
"mind";1;0,93;0,97
"military";1;0,18;1
"microsoft";0,28;0,93;1
"mcglynn";1;1;0,202
"los";0,022;1;1
"lord";1;1;0,012
"local";1;0,18;0,97
"literacy";1;0,01;1
"letter";1;1;0,202
"largely";1;0,18;0,97
"judge";1;1;0,012
"jewish";0,28;0,93;1
"intellectual";0,28;1;0,97
"improve";0,28;0,93;1
"imminent";1;1;0,202
"identify";1;0,18;0,97
"hurt";0,28;1;0,97
"https";0,28;0,93;1
"hope";1;1;0,012
"hire";1;0,93;0,97
"heitner";1;0,93;0,97
"guardian";0,28;1;0,97
"grapple";1;1;0,202
"graphic";0,022;1;1
"glasgow";1;1;0,012
"gemini";0,28;0,93;1
"game";0,28;0,93;1
"fun";0,022;1;1
"founder";1;0,18;0,97
"force";1;1;0,202
"follower";0,022;1;1
"fiction";1;0,18;1
"exploit";1;0,93;0,202
"expect";1;0,18;1
"exacerbate";1;0,01;1
"establish";1;0,93;0,202
"ensure";1;0,93;0,202
"enforcement";1;1;0,012
"encounter";1;0,18;1
"echo";1;0,18;1
"easily";1;0,01;1
"dream";0,022;1;1
"distribution";1;1;0,012
"distribute";1;0,93;0,202
"dispute";0,28;0,93;1
"direct";1;0,18;1
"design";1;0,93;0,97
"department";1;0,93;0,97
"democratic";1;0,93;0,202
"demand";1;0,93;0,202
"deception";1;0,18;1
"david";0,022;1;1
"date";1;0,18;1
"dance";0,022;1;1
"crown";1;1;0,012
"creativity";0,022;1;1
"contribute";1;0,93;0,97
"consultation";1;1;0,202
"combat";1;0,18;0,97
"colman";1;0,01;1
"college";1;0,93;0,97
"collective";1;0,18;1
"channel";1;0,18;0,97
"ceremony";1;1;0,012
"central";1;1;0,202
"caraballo";1;0,18;1
"camera";0,022;1;1
"broadcast";0,28;0,93;1
"billion";1;0,18;0,97
"bear";1;0,93;0,97
"basis";0,28;1;0,97
"baby";0,28;0,93;1
"avoid";1;0,18;0,97
"avatar";0,28;0,93;1
"attend";1;1;0,202
"appeal";0,28;1;0,97
"antisemitic";0,022;1;1
"angeles";0,022;1;1
"alert";0,28;1;0,97
"afp";1;1;0,202
"accuse";1;1;0,012
"accountability";1;1;0,202
